name,email,phone1,phone2
john,john@xyz.com,1234567890,9876543210
doe,doe@abc.com,9517534560,9638521470
cathy,caty@gmail.com,7418520963,9623587015
peter,panda@hotmail.com,9073851625,7391824609
biju, biju@yahoo.com,9536275184,8524963780
sam,sam@xyz.com,9519512357,7591530486
chauv,chacha@gmail.com,0123426783,9878654532
vikran,vikranth@gmail.com,8520147963,3698521407
maya,vishu@yahoo.com,7410852369,7896541235
punith,kumar@gmail.com,01597538,03233519
karen,car@hotmail.com,7182934862,6842793152
kesav,kesav@gmail,7418419526,3692571475
pretty,pretty@hotmail.com,10159638,10159639
vaibhav,vaiyu@gmail.com,9852378521,7852198523
siddhu,sid@yahoo.com,7456914563,7012367456
